mmsi,timestamp,lat,lon,sog,cog,heading,vessel_type,destination,draught,length
200000090,2024-01-01T00:00:00+00:00,53.448001,9.890435,13.4,170.5,168.8,72,ROTTERDAM,9.7,381
200000090,2024-01-01T00:08:29.086209+00:00,53.513642,9.755619,12.1,258.9,258.3,72,ROTTERDAM,9.7,381
200000090,2024-01-01T00:16:58.172418+00:00,53.499267,9.682142,12.6,202.5,205.8,72,ROTTERDAM,9.7,381
200000090,2024-01-01T00:25:27.258626+00:00,53.330806,9.612236,13.2,311.2,307.6,72,ROTTERDAM,9.7,381
200000090,2024-01-01T00:33:56.344835+00:00,53.339369,9.60247,10.8,295.8,291.9,72,ROTTERDAM,9.7,381
200000090,2024-01-01T00:42:25.431044+00:00,53.386989,9.504136,11.9,229.1,226.9,72,ROTTERDAM,9.7,381
200000090,2024-01-01T00:50:54.517253+00:00,53.340904,9.450942,13.5,266.3,268.5,72,ROTTERDAM,9.7,381
200000090,2024-01-01T00:59:23.603461+00:00,53.331996,9.314458,13.2,218.0,214.1,72,ROTTERDAM,9.7,381
200000090,2024-01-01T01:07:52.689670+00:00,53.266303,9.263151,11.9,317.6,314.9,72,ROTTERDAM,9.7,381
200000090,2024-01-01T01:16:21.775879+00:00,53.329045,9.205906,11.0,257.2,257.7,72,ROTTERDAM,9.7,381
200000090,2024-01-01T01:24:50.862088+00:00,53.300084,9.078563,17.2,215.4,218.7,72,ROTTERDAM,9.7,381
200000090,2024-01-01T01:33:19.948297+00:00,53.240615,9.036272,14.6,282.1,280.2,72,ROTTERDAM,9.7,381
200000090,2024-01-01T01:41:49.034505+00:00,53.269795,8.89974,14.8,229.1,227.0,72,ROTTERDAM,9.7,381
200000090,2024-01-01T01:50:18.120714+00:00,53.212928,8.834086,12.6,222.1,219.7,72,ROTTERDAM,9.7,381
200000090,2024-01-01T01:58:47.206923+00:00,53.122707,8.752555,11.6,287.2,283.8,72,ROTTERDAM,9.7,381
200000090,2024-01-01T02:07:16.293132+00:00,53.160229,8.631253,12.0,177.8,177.1,72,ROTTERDAM,9.7,381
200000090,2024-01-01T02:15:45.379340+00:00,53.069966,8.634796,10.4,297.9,301.8,72,ROTTERDAM,9.7,381
200000090,2024-01-01T02:24:14.465549+00:00,53.137952,8.506381,16.1,218.8,222.7,72,ROTTERDAM,9.7,381
200000090,2024-01-01T02:32:43.551758+00:00,53.067653,8.449878,12.7,241.8,242.0,72,ROTTERDAM,9.7,381
200000090,2024-01-01T02:41:12.637967+00:00,53.037026,8.392694,15.5,239.4,242.1,72,ROTTERDAM,9.7,381
200000090,2024-01-01T02:49:41.724176+00:00,52.988342,8.310386,12.1,315.7,314.4,72,ROTTERDAM,9.7,381
200000090,2024-01-01T02:58:10.810384+00:00,53.059635,8.240732,13.8,232.0,234.5,72,ROTTERDAM,9.7,381
200000090,2024-01-01T03:06:39.896593+00:00,52.9669,8.121941,13.3,248.8,253.2,72,ROTTERDAM,9.7,381
200000090,2024-01-01T03:15:08.982802+00:00,52.92933,8.025104,10.2,252.4,248.7,72,ROTTERDAM,9.7,381
200000090,2024-01-01T03:23:38.069011+00:00,52.909259,7.961686,16.4,277.2,273.7,72,ROTTERDAM,9.7,381
200000090,2024-01-01T03:32:07.155220+00:00,52.929601,7.800708,12.1,244.8,245.8,72,ROTTERDAM,9.7,381
